Ticker,Name,GICS Sector
AAPL,Apple Inc.,Information Technology
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie Inc,Health Care
ALL,Allstate Corporation,Financials
AMGN,Amgen Inc.,Health Care
AMZN,"Amazon.com, Inc.",Consumer Discretionary
AVP,Avon Products Inc,Consumer Discretionary
AXP,American Express Company,Financials
BA,Boeing Company,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BHI,Baker Hughes Holdings LLC,Energy
BK,Bank of New York Mellon Corporation,Financials
BMY,Bristol-Myers Squibb Company,Health Care
BNI,Burlington Northern Santa Fe L,Financials
CAT,Caterpillar Inc.,Industrials
CL,Colgate-Palmolive Company,Consumer Staples
CMCSA,Comcast Corporation Class A,Communication Services
COF,Capital One Financial Corp,Financials
COST,Costco Wholesale Corporation,Consumer Staples
CPB,Campbell Soup Company,Consumer Staples
CSCO,"Cisco Systems, Inc.",Information Technology
CVS,CVS Health Corporation,Health Care
CVX,Chevron Corporation,Energy
DVN,Devon Energy Corporation,Energy
EMC,EMC Corp,Information Technology
EXC,Exelon Corporation,Utilities
F,Ford Motor Company,Consumer Discretionary
FDX,FedEx Corporation,Industrials
GD,General Dynamics Corporation,Industrials
GE,General Electric Company,Industrials
GILD,"Gilead Sciences, Inc.",Health Care
GS,"Goldman Sachs Group, Inc.",Financials
HAL,Halliburton Company,Energy
HD,"Home Depot, Inc.",Consumer Discretionary
HNZ,Kraft Heinz Foods Co,Consumer Staples
HON,Honeywell International Inc.,Industrials
HPQ,HP Inc.,Information Technology
HSH,Hillshire Brands Co/The,Consumer Discretionary
IBM,International Business Machines Corporation,Information Technology
INTC,Intel Corporation,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase & Co.,Financials
KO,Coca-Cola Company,Consumer Staples
LMT,Lockheed Martin Corporation,Industrials
LOW,"Lowe's Companies, Inc.",Consumer Discretionary
MA,Mastercard Incorporated Class A,Information Technology
MCD,McDonald's Corporation,Consumer Discretionary
MDLZ,"Mondelez International, Inc. Class A",Consumer Staples
MET,"MetLife, Inc.",Financials
MMM,3M Company,Industrials
MO,Altria Group Inc,Consumer Staples
MRK,"Merck & Co., Inc.",Health Care
MS,Morgan Stanley,Financials
MSFT,Microsoft Corporation,Information Technology
NKE,"NIKE, Inc. Class B",Consumer Discretionary
NOV,NOV Inc.,Energy
NSC,Norfolk Southern Corporation,Industrials
NYX,NYSE Euronext,Financials
ORCL,Oracle Corporation,Information Technology
PEP,"PepsiCo, Inc.",Consumer Staples
PFE,Pfizer Inc.,Health Care
PG,Procter & Gamble Company,Consumer Staples
PM,Philip Morris International Inc.,Consumer Staples
QCOM,Qualcomm Incorporated,Information Technology
RF,Regions Financial Corporation,Financials
RTN,Raytheon Co,Industrials
RTX,Raytheon Technologies Corporation,Industrials
SLB,Schlumberger NV,Energy
SO,Southern Company,Utilities
T,AT&T Inc.,Communication Services
TGT,Target Corporation,Consumer Discretionary
TWX,Time Warner Inc,Consumer Discretionary
TXN,Texas Instruments Incorporated,Information Technology
UNH,UnitedHealth Group Incorporated,Health Care
UPS,"United Parcel Service, Inc. Class B",Industrials
USB,U.S. Bancorp,Financials
VZ,Verizon Communications Inc.,Communication Services
WFC,Wells Fargo & Company,Financials
WMB,"Williams Companies, Inc.",Energy
WMT,Walmart Inc.,Consumer Staples
WY,Weyerhaeuser Company,Real Estate
XOM,Exxon Mobil Corporation,Energy
XRX,Xerox Holdings Corporation,Information Technology
DIS,Walt Disney Company,Communication Services
MDT,Medtronic Plc,Health Care
EMR,Emerson Electric Co.,Industrials
UNP,Union Pacific Corporation,Industrials
V,Visa Inc. Class A,Information Technology
ACN,Accenture Plc Class A,Information Technology
AEP,"American Electric Power Company, Inc.",Utilities
EBAY,eBay Inc.,Consumer Discretionary
LLY,Eli Lilly and Company,Health Care
SBUX,Starbucks Corporation,Consumer Discretionary
SPG,"Simon Property Group, Inc.",Real Estate
AIG,"American International Group, Inc.",Financials
FB,Meta Platforms Inc. Class A,Communication Services
GM,General Motors Company,Consumer Discretionary
BIIB,Biogen Inc.,Health Care
GOOG,Alphabet Inc,Information Technology
WBA,Walgreens Boots Alliance Inc,Consumer Staples
AGN,Allergan Ltd,Health Care
BKNG,Booking Holdings Inc.,Consumer Discretionary
BLK,"BlackRock, Inc.",Financials
CELG,Celgene Corp,Health Care
GOOGL,Alphabet Inc. Class A,Communication Services
PYPL,"PayPal Holdings, Inc.",Information Technology
DHR,Danaher Corporation,Health Care
DUK,Duke Energy Corporation,Utilities
KHC,Kraft Heinz Company,Consumer Staples
NEE,"NextEra Energy, Inc.",Utilities
CHTR,"Charter Communications, Inc. Class A",Communication Services
DD,"DuPont de Nemours, Inc.",Materials
NFLX,"Netflix, Inc.",Communication Services
NVDA,NVIDIA Corporation,Information Technology
ADBE,Adobe Incorporated,Information Technology
DOW,"Dow, Inc.",Materials
TMO,Thermo Fisher Scientific Inc.,Health Care
